Cena,Stanje,Marka,Tip,Model,Godiste,Kilometraza,Kubikaza,kW,KS,Broj cilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
1690,Polovan motor,Honda,Sport / Super sport,CBR 600 F,1993,51000,600,72,98,4, Manuelni, Crvena, 06.2017.,Domace tablice, Nije ostecen
2990,Polovan motor,Aprilia,Scooter,SR MAX 300ie,2011,28000,278,17,23,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
3792,Nov motor,Kawasaki,Naked,z250 SL ABS AKCIJA,2016,0,249,21,28,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
2650,Nov motor,Piaggio,Scooter,LIBERTY 125 iGET ABS,2016,0,124,8,11,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
5550,Nov motor,Vespa,Scooter,GTS SUPER 300 ABS,2017,0,278,16,21,1, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
10500,Nov motor,Aprilia,Scooter,SRV 850 ABS,2016,0,894,56,76,1, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
2550,Nov motor,Gilera,Moped,RUNER 50,2017,0,49,3,4,1, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
2650,Nov motor,Vespa,Moped,SPRINT 50 2T,2016,0,49,3,4,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
6500,Nov motor,Piaggio,Scooter,X10 350 Executive ABS/ASR,2015,0,330,25,33,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
5950,Nov motor,Piaggio,Scooter,BEVERLY SPORT 350 ABS/ASR,2016,0,330,25,33,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
7600,Nov motor,Piaggio,Scooter,MP3 300 LT ABS/ASR 2016,2016,0,278,17,23,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
6100,Nov motor,Yamaha,Scooter,XMAX 300 NOVO,2017,0,292,21,28,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
1600,Polovan motor,Kawasaki,Enduro / Cross,kx 250,2002,222,250,47,64,1, Manuelni, Zelena, Nije registrovan,Domace tablice, Nije ostecen
7141,Nov motor,Kawasaki,Chopper / Cruiser,Vulcan S,2017,0,649,45,61,2, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
279,Nov motor,Nitro,Sport / Super sport,Cross honda,2017,0,49,3,4,nepoznato, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
4496,Nov motor,Kawasaki,Scooter,J300 AKCIJA,2016,0,300,21,28,1, Automatski, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
3050,Nov motor,Aprilia,Scooter,SCARABEO 200 i.e.,2016,0,180,11,15,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
650,Polovan motor,Yamasaki,Enduro / Cross,sky,2009,200,49,4,5,1, Manuelni, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
500,Polovan motor,Jonway,Scooter,Astro,2008,10200,125,6,8,1, Automatski, Bela, Nije registrovan,Domace tablice, Nije ostecen
11855,Nov motor,Kawasaki,Naked,Z1000,2017,0,1043,104,142,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
17251,Nov motor,Kawasaki,Sport / Super sport,Ninja ZX10R,2017,0,998,154,210,4, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
4990,Nov motor,Yamaha,Scooter,X MAX 250,2017,0,249,15,20,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
2850,Polovan motor,Kymco,Scooter,Xciting,2010,14200,271,17,23,1, Automatski, Srebrna, Nije registrovan,Domace tablice, Nije ostecen
11500,Nov motor,Yamaha,Scooter,T MAX 530 NOVO,2017,0,530,34,46,2, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
12300,Polovan motor,Honda,Touring,Goldwing,2002,87000,1832,87,118,6, Manuelni, Bela, 07.2017.,Domace tablice, Nije ostecen
2900,Polovan motor,Gilera,Scooter,NEXUS top stanje,2006,6000,500,31,42,2, Automatski,nepoznato, 07.2017.,Domace tablice, Nije ostecen
3550,Polovan motor,Yamaha,Touring,FZ6S S2 Fazer 600,2008,39000,599,74,101,4, Manuelni, Crna, 06.2017.,Domace tablice, Nije ostecen
1399,Nov motor,Sachs,Enduro / Cross,x road 2,2017,0,125,10,14,1, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
